Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
28,"9/10/20, 5:00:19 PM",15 ft,0:00:01,10 mph,854 ft,48° true,N42° 16.019' W83° 43.629',87.8 °F,82
29,"9/10/20, 5:00:20 PM",35 ft,0:00:02,12 mph,854 ft,29° true,N42° 16.021' W83° 43.627',87.8 °F,83
30,"9/10/20, 5:00:22 PM",72 ft,0:00:03,16 mph,855 ft,359° true,N42° 16.026' W83° 43.623',87.8 °F,83
31,"9/10/20, 5:00:25 PM",94 ft,0:00:03,21 mph,856 ft,358° true,N42° 16.037' W83° 43.623',87.8 °F,83
32,"9/10/20, 5:00:28 PM",64 ft,0:00:02,22 mph,856 ft,359° true,N42° 16.053' W83° 43.624',87.8 °F,82
33,"9/10/20, 5:00:30 PM",48 ft,0:00:02,16 mph,858 ft,2° true,N42° 16.064' W83° 43.624',87.8 °F,82
34,"9/10/20, 5:00:32 PM",13 ft,0:00:01,9 mph,858 ft,349° true,N42° 16.071' W83° 43.624',87.8 °F,85
35,"9/10/20, 5:00:33 PM",15 ft,0:00:03,3.5 mph,858 ft,348° true,N42° 16.074' W83° 43.624',87.8 °F,83
36,"9/10/20, 5:00:36 PM",39 ft,0:00:03,9 mph,858 ft,357° true,N42° 16.076' W83° 43.625',87.8 °F,85
37,"9/10/20, 5:00:39 PM",47 ft,0:00:02,16 mph,859 ft,356° true,N42° 16.082' W83° 43.625',87.8 °F,84
38,"9/10/20, 5:00:41 PM",28 ft,0:00:01,19 mph,860 ft,356° true,N42° 16.090' W83° 43.626',87.8 °F,83
39,"9/10/20, 5:00:42 PM",98 ft,0:00:03,22 mph,861 ft,357° true,N42° 16.095' W83° 43.626',87.8 °F,84
40,"9/10/20, 5:00:45 PM",101 ft,0:00:03,23 mph,864 ft,355° true,N42° 16.111' W83° 43.627',87.8 °F,85
41,"9/10/20, 5:00:48 PM",142 ft,0:00:04,24 mph,865 ft,355° true,N42° 16.127' W83° 43.629',87.8 °F,86
42,"9/10/20, 5:00:52 PM",70 ft,0:00:02,24 mph,866 ft,358° true,N42° 16.151' W83° 43.632',87.8 °F,89
43,"9/10/20, 5:00:54 PM",34 ft,0:00:01,23 mph,867 ft,359° true,N42° 16.162' W83° 43.632',87.8 °F,94
44,"9/10/20, 5:00:55 PM",136 ft,0:00:04,23 mph,868 ft,0° true,N42° 16.168' W83° 43.633',87.8 °F,94
45,"9/10/20, 5:00:59 PM",173 ft,0:00:05,24 mph,871 ft,1° true,N42° 16.190' W83° 43.632',87.8 °F,92
46,"9/10/20, 5:01:04 PM",29 ft,0:00:01,20 mph,873 ft,3° true,N42° 16.218' W83° 43.632',87.8 °F,94
47,"9/10/20, 5:01:05 PM",22 ft,0:00:01,15 mph,872 ft,7° true,N42° 16.223' W83° 43.631',87.8 °F,94
48,"9/10/20, 5:01:06 PM",18 ft,0:00:02,6 mph,871 ft,0° true,N42° 16.227' W83° 43.631',87.8 °F,91
49,"9/10/20, 5:01:08 PM",8 ft,0:00:02,2.6 mph,870 ft,340° true,N42° 16.230' W83° 43.631',87.8 °F,88
50,"9/10/20, 5:01:10 PM",6 ft,0:00:01,4.2 mph,869 ft,347° true,N42° 16.231' W83° 43.631',87.8 °F,84
51,"9/10/20, 5:01:11 PM",25 ft,0:00:02,8 mph,869 ft,323° true,N42° 16.232' W83° 43.632',87.8 °F,82
